Welcher US-Staat liegt westlich von Kanada?,Alaska,Texas,California,A
Was ist die Hauptstadt von China?,Bejing,Peking,Shanghai,A
Was ist Taiwan's eigentlicher Name?,Republik von China,Formosa,Vereinigtes China,A
Welches Land hat die meisten Einwohner (2021)?,China,Indien,Russland,A
Welches Land ist die zehntgrösste Weltmacht? (2021),Südkorea,Japan, Indonesien,A
Welches ist das flächenmässig grösste Land in Europa?,Türkei,Russland,Ukraine,B
Welches Land besitzt am meisten Inseln?,Marshallinseln,Schweden, Mikronesien,B
Welche Stadt hat am meisten Einwohner?,Paris,Tokio,Kairo,B
Welcher dieser Länder haben keine Hauptstadt?,Liechtenstein,Schweiz,Luxemburg,B
Welches Land hat die Hauptstadt 'Dublin'?,Wales,Irland,Schottland,B
Was ist das Nationaltier von Australien?, Gürteltier,Koala,Kängeru,C
Welches Land hat der höchtste Lebenserwartung?,Schweiz,Singapur,Japan,C
Was ist das flächenmässig grösste Land in Afrika?,Ägypten,Südafrika,Algerien,C
In welcher Stadt ist das höchste Gebäude der Welt?,Tokio,New York,Dubai,C
Welches Land hat keine viereckige Flagge?,Vatikanstadt,Sri Lanka,Nepal,C
